"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","RT @ImpossibleFoods: Head of Culinary at #ImpossibleFoods AND @QSRmagazine January cover star? It’s all in a day’s work for Chef @JMichaelM…",FALSE,0,NA,2020-02-05 06:23:03,FALSE,NA,"1224941486707552256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Baxzy",7,TRUE,FALSE,NA,NA
"69","RT @ImpossibleFoods: Sign up for #TastePlace to earn rewards just for eating #ImpossibleFoods. Terms &amp; conditions can be viewed online at h…",FALSE,0,NA,2020-02-05 06:22:44,FALSE,NA,"1224941407909109761",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Baxzy",4,TRUE,FALSE,NA,NA
"70","RT @ImpossibleFoods: Sign up for #TastePlace to earn rewards just for eating #ImpossibleFoods. Terms &amp; conditions can be viewed online at h…",FALSE,0,NA,2020-02-05 02:57:43,FALSE,NA,"1224889814803193859",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kellierose914",4,TRUE,FALSE,NA,NA
"71","RT @ImpossibleFoods: Sign up for #TastePlace to earn rewards just for eating #ImpossibleFoods. Terms &amp; conditions can be viewed online at h…",FALSE,0,NA,2020-02-05 02:24:45,FALSE,NA,"1224881516888506368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IvanIvanzamora",4,TRUE,FALSE,NA,NA
"72","Sign up for #TastePlace to earn rewards just for eating #ImpossibleFoods. Terms &amp; conditions can be viewed online a… https://t.co/nTg4kqqMAU",FALSE,19,NA,2020-02-05 01:57:44,TRUE,NA,"1224874716789268480",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","ImpossibleFoods",4,FALSE,FALSE,NA,NA
"73","RT @ImpossibleFoods: Head of Culinary at #ImpossibleFoods AND @QSRmagazine January cover star? It’s all in a day’s work for Chef @JMichaelM…",FALSE,0,NA,2020-02-05 01:25:05,FALSE,NA,"1224866500894515206",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kellierose914",7,TRUE,FALSE,NA,NA
"74","Head of Culinary at #ImpossibleFoods AND @QSRmagazine January cover star? It’s all in a day’s work for Chef… https://t.co/Q77gc7OV3j",FALSE,19,NA,2020-02-05 00:38:16,TRUE,NA,"1224854720721719296",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","ImpossibleFoods",7,FALSE,FALSE,NA,NA
"75","It was an impossible whopper kind of Monday 😋😋😋 #burgerking #impossiblewhopper #impossiblefoods #impossibleburger… https://t.co/KUqOmzcFqT",FALSE,1,NA,2020-02-04 19:28:16,TRUE,NA,"1224776705799282691",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","nycgirlseat",0,FALSE,FALSE,NA,NA
"76","It was an impossible whopper kind of Monday 😋😋😋 #burgerking #impossiblewhopper #impossiblefoods #impossibleburger… https://t.co/yt3QoHvs9m",FALSE,0,NA,2020-02-04 19:09:08,TRUE,NA,"1224771889995898885",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","nycgirlseat",0,FALSE,FALSE,NA,NA
"77","More choices than ever to ditch animal products! Have you tried the Impossible Whopper? Let us know👇… https://t.co/LbdLqv2hXH",FALSE,7,NA,2020-02-04 14:30:47,TRUE,NA,"1224701841994285058",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ARMInvestigatio",2,FALSE,FALSE,NA,NA
